poiid,title,address,lon,lat,category,checkin_user_num,city,checkin_num,checkin_ave
B2094450D064ABF8439C,巴布洛生态谷,"江苏省 南京市 竹镇",118.621,32.4841,公园户外,190,0025,242,1.27368421
B2094450D064ABFD4598,巴布洛生态谷,"江苏省 南京市 竹镇镇金磁社区",118.613,32.4827,一般地点标志,48,0025,60,1.25
B2094450D064ABFD479E,钟山风景区,"江苏省 南京市 中山陵",118.852,32.0364,公园户外,23,0025,34,1.478260869
B2094450D065A4F9459F,玄武湖,"江苏省 南京市 南京市玄武区",118.932,32.1149,公园户外,44,0025,116,2.636363636
B2094450D068AAF84699,南京国际青年文化中心,南京市建邺区邺城路6号,118.709,31.9916,著名地点,12,0025,22,1.833333333
B2094450D06AA2FB4293,清荷园北园,"江苏省 南京市 南京市建邺区中河路69号",118.716,31.9753,一般地点标志,94,0025,262,2.787234042
B2094450D06AA6FA4399,南京市审计学院敏知楼,"江苏省 南京市 南京市浦口区雨山西路86号",118.609,32.0611,校园生活,42,0025,53,1.261904761
B2094450D06AA6FF4093,赤味串串香,"江苏省 南京市 1912街区玛索旁边",118.801,32.0427,餐饮美食,11,0025,13,1.181818181
B2094450D06AABF5459F,海韵之星,"江苏省 南京市 南京市",118.8,31.9783,生活娱乐,16,0025,16,1
B2094450D06BA5F4489F,南京特殊教育师范学院,"江苏省 南京市 江苏省南京市栖霞区神农路1号",118.837,32.1262,校园生活,245,0025,755,3.081632653
B2094450D06CA3FC409F,南京禄口国际机场,"江苏省 南京市 禄口镇",118.872,31.7272,一般地点标志,3171,0025,3393,1.07000946
B2094450D06CA7FF489E,银乐迪KTV,"江苏省 南京市 南京市浦口区桥北新一城银乐迪KTV",118.728,32.1393,生活娱乐,36,0025,41,1.138888888
B2094450D06DA2FE449D,南京•新街口,"江苏省 南京市 白下区中山东路",118.859,31.9549,生活娱乐,43,0025,47,1.093023255
B2094450D06DA4F84393,首釜年糕新一城店,"江苏省 南京市 大桥北路新一城",118.721,32.1407,餐饮美食,9,0025,9,1
B2094450D06DA5FD419F,冶山国家矿山公园,"江苏省 南京市 六合",118.983,32.4956,一般地点标志,31,0025,39,1.258064516
B2094450D06DA6F94393,南京铁道学院,"江苏省 南京市 珍珠南路65号",118.704,32.1009,校园生活,126,0025,268,2.126984126
B2094450D06DA7F44193,南京六朝博物馆,"江苏省 南京市 长江路",118.799,32.0422,楼宇机构,25,0025,26,1.04
B2094450D06DA7FB469C,永丰诗舍,"江苏省 南京市 中山陵",118.849,32.0545,公园户外,60,0025,164,2.733333333
B2094450D06EA0FD409E,钱仓向日葵花海,"江苏省 南京市 南京六合钱仓304县道",118.859,32.3497,生活娱乐,42,0025,46,1.095238095
B2094450D06FABF8419D,南京江宁爱情隧道,"江苏省 南京市 南京江宁区",118.795,31.8241,一般地点标志,359,0025,382,1.064066852
B2094450D164ABF5469D,南京大学仙林校区恩玲剧场,"江苏省 南京市 南大仙林",118.957,32.1125,校园生活,43,0025,49,1.139534883
B2094450D165A7FD4092,先锋润泽书局,"江苏省 南京市 南京审计学院",118.609,32.0624,校园生活,33,0025,40,1.212121212
B2094450D168A0FF449A,老门东,"江苏省 南京市 中华门内",118.929,32.0992,公园户外,17,0025,17,1
B2094450D168A1F8429E,南京禄口机场VIP贵宾休息室,"江苏省 南京市 南京禄口机场1楼候机厅",118.879,31.7299,出行住宿,18,0025,19,1.055555555
B2094450D168A3FE4692,桔子水晶酒店·逸仙桥店,"江苏省 南京市 南京市秦淮区中山东路472号",118.802,32.0405,出行住宿,44,0025,52,1.181818181
B2094450D169A2F84198,韩国首尔济州岛,"江苏省 南京市 济州国际机场",118.816,32.1125,餐饮美食,24,0025,29,1.208333333
B2094450D16AA4F84899,润SEASON锅物料理（华灯坊店）,"江苏省 南京市 南京市建邺区华灯坊",118.728,31.9978,餐饮美食,12,0025,18,1.5
B2094450D16AA5FF409E,雅居乐滨江国际酒店,"江苏省 南京市 南京市浦口区",118.672,32.0623,餐饮美食,61,0025,86,1.409836065
B2094450D16BA7FE469B,水林间,"江苏省 南京市 南京仙林金鹰",118.932,32.1005,餐饮美食,43,0025,44,1.023255813
B2094450D16CA4FB459F,南京碌口国际机场T2航站楼,"江苏省 南京市 碌口机场",118.877,31.7254,一般地点标志,12,0025,12,1
B2094450D16DA1FC459D,紫金山头驼岭,"江苏省 南京市 南京市玄武区",118.844,32.1188,一般地点标志,15,0025,16,1.066666666
B2094450D16DA2F84293,汪海国际大酒店,"江苏省 南京市 南京市雨花台区梅山雄风路486号",118.634,31.8939,出行住宿,28,0025,31,1.107142857
B2094450D16DA2FC4292,南京新街口,"江苏省 南京市 南京市新街口",118.604,32.0671,餐饮美食,27,0025,27,1
B2094450D16DA4F94998,金陵飯店亞太商務樓,"江苏省 南京市 南京新街口漢中路2號",118.793,31.9393,出行住宿,7,0025,7,1
B2094450D16DA6FA4793,南京市夫子庙,"江苏省 南京市 南京市夫子庙",118.77,32.229,一般地点标志,35,0025,36,1.028571428
B2094450D16FA3FD449C,南京夫子庙,"江苏省 南京市 南京",118.926,32.0997,餐饮美食,52,0025,54,1.038461538
B2094450D16FA7FD4399,大叔的丝袜奶茶铺,天元东路897号海澜宾馆旁,118.878,31.9404,糕饼店,14,0025,19,1.357142857
B2094450D465AAF9439E,海韵之星邮轮会,"江苏省 南京市 丁墙路6号",118.8,31.9787,生活娱乐,191,0025,223,1.167539267
B2094450D468A6F54492,南京砂之船奥特莱斯艺术商业广场,南京市江宁区秣周东路18号,118.816,31.8689,特色商业街,552,0025,718,1.300724637
B2094450D469A3FC4593,南京爱能国际酒吧,"江苏省 南京市 鼓楼区五台山",118.797,32.0483,一般地点标志,36,0025,44,1.222222222
B2094450D46DA2F8469A,拉亚汉堡经典餐厅,"江苏省 南京市 府前东路9号万达金街4幢105室（江宁万达）",118.92,31.8986,餐饮美食,24,0025,32,1.333333333
